RowNum,Passage,Comment,isReview
0,0,Nice twist!,1
1,0,I really want to know more about this duo. It was simple and heartwarming,1
2,0,Great twist! It's not often a story surprises me.,1
3,0,This is great,1
4,0,"I liked your twist on it, great job!",1
5,1,I love how she was like a Karen. ,1
6,2,Ha! This one gets better the farther along it goes. Very nice!,1
7,2,This was a great read! I love the wholesomeness of this new god who isn't quite sure how to approach the panicking people.,1
8,2,I was expecting new god not to like the new name GodyMcGodface,0
9,2,Many eyed and winged... Are his messengers little cthulus?,0
10,2,"I may be reading this wrong, but that last paragraph... is... is Satan now god?",0
11,2,> Go to church and\n\nYou lost me. Go ahead and read a bit about what the church (any) has done. give us a heavenly voting booth instead,0
12,3,I like the idea that god said the same thing in every town meeting. He just doesnt like Sarahs.,1
13,3,"If you wish to continue this story, I would like to read it :)",1
14,3,this is gooooood!! i'd love to read more of it!,1
15,3,i really need part two... wanna knowwhat happens to me ;),0
16,4,Lily /Lucy? Awesome story! Would love to know what happened next,1
17,5,This really explains so much about this past year. =),0
18,5,Here you go again that 2020 note made me double check who wrote this yup my fav writer on here. Dope as always,1
19,5,Stop saying chord. :/,1
20,6,So long and thanks for all the fish.,0
21,6,But he said the humans were the chosen....,1
22,7,"Seems awfully short, I hope there's more.",1
23,8,">Schambambuckli\n\nHey, I recognize that name.",0
24,9,You had me at the banana suits. Thank you for the submission!,1
25,9,As an Anthropology major... we use Chicago,0
26,9,">Anthropology is a science! he spat. We are not tobacco-smoking, goatee-wearing, Humanities Hippies! You must always, ALWAYS use APA!\n\nThis is gold.",1
27,9,TIL APA is exclusively for science and MLA for humanities,0
28,9,"> Kevin... Its been years. You call me now to ask about citation format?!""\n\nMe when the fourth year undergraduates I teach *still* don\",0
29,9,", ",0
30,9,", ",0
31,9,", ",0
32,9,", ",0
